region,variety,rating
"Napa Valley, California",White Wine,91.0
"Beaujolais, Burgundy, France",Red Wine,89.0
"Champagne, France",Sparkling & Champagne,91.0
"Pomerol, Bordeaux, France",Red Wine,89.0
"Clare Valley, South Australia, Australia",Red Wine,92.0
"Champagne, France",Sparkling & Champagne,93.0
Greece,White Wine,91.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,92.0
"Napa Valley, California",Red Wine,91.0
"Yamhill-Carlton District, Willamette Valley, Oregon",Red Wine,92.0
"Rioja, Spain",Red Wine,91.0
"Champagne, France",Sparkling & Champagne,91.0
"Santa Cruz Mountains, California",Red Wine,93.0
"Dry Creek Valley, Sonoma County, California",Red Wine,90.0
Spain,Red Wine,91.0
South Africa,White Wine,91.0
"Sonoma County, California",Red Wine,96.0
"Napa Valley, California",Red Wine,96.0
"Napa Valley, California",Red Wine,91.0
California,Red Wine,89.0
"Lodi, California",Pink and Rosé,89.0
"Santa Maria Valley, Central Coast, California",Sparkling & Champagne,91.0
"Central Coast, California",White Wine,89.0
"Cotes du Rhone, Rhone, France",Red Wine,90.0
"Margaux, Bordeaux, France",Red Wine,90.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,90.0
"Nahe, Germany",White Wine,92.0
"Champagne, France",Sparkling & Champagne,93.0
"Pessac-Leognan, Bordeaux, France",Red Wine,94.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,95.0
"North Coast, California",Red Wine,91.0
"Rheinhessen, Germany",White Wine,94.0
"Vougeot, Cote de Nuits, Cote d'Or, Burgundy, France",White Wine,91.0
"Santa Barbara, Central Coast, California",Red Wine,90.0
"Napa Valley, California",Red Wine,95.0
"Marlborough, New Zealand",White Wine,90.0
"McLaren Vale, South Australia, Australia",Red Wine,91.0
"Sonoma County, California",Red Wine,90.0
"Carneros, California",Red Wine,91.0
"Piedmont, Italy",Sparkling & Champagne,88.0
Australia,Red Wine,90.0
"Sonoma County, California",Red Wine,93.0
"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,92.0
"Trentino-Alto Adige, Italy",White Wine,88.0
"Sauternes, Bordeaux, France",Collectible,93.0
"Columbia Valley, Washington",Red Wine,91.0
Italy,Sparkling & Champagne,91.0
"Marlborough, New Zealand",White Wine,90.0
Chile,White Wine,87.0
"San Francisco Bay, Central Coast, California",Red Wine,93.0
"Columbia Valley, Washington",Red Wine,90.0
Spain,Red Wine,90.0
"McLaren Vale, South Australia, Australia",Red Wine,93.0
"Abruzzo, Italy",Red Wine,91.0
"Russian River, Sonoma County, California",Sparkling & Champagne,90.0
"Atlas Peak, Napa Valley, California",White Wine,90.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,93.0
"Colchagua Valley, Rapel Valley, Chile",Red Wine,90.0
Spain,Red Wine,92.0
"Yarra Valley, Victoria, Australia",Red Wine,90.0
Spain,Red Wine,94.0
"Carneros, California",Sparkling & Champagne,91.0
"Tuscany, Italy",Red Wine,89.0
"Umbria, Italy",,93.0
"Clare Valley, South Australia, Australia",Red Wine,90.0
"Yakima Valley, Columbia Valley, Washington",Red Wine,92.0
"Priorat, Spain",Red Wine,91.0
"Rioja, Spain",Red Wine,93.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,94.0
"McLaren Vale, South Australia, Australia",Red Wine,98.0
"Mendocino, California",Red Wine,90.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,96.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,90.0
"Rioja, Spain",Red Wine,90.0
"Trentino, Trentino-Alto Adige, Italy",Sparkling & Champagne,90.0
Italy,Red Wine,90.0
"Eola-Amity Hills, Willamette Valley, Oregon",Red Wine,91.0
"Ribbon Ridge, Willamette Valley, Oregon",White Wine,91.0
"Sonoma County, California",Red Wine,86.0
"Mosel, Germany",White Wine,92.0
"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,90.0
"Columbia Valley, Washington",Red Wine,90.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",White Wine,92.0
"St. Emilion, Bordeaux, France",Red Wine,95.0
"Rutherford, Napa Valley, California",Red Wine,90.0
"Coonawarra, South Australia, Australia",Red Wine,90.0
"Willamette Valley, Oregon",White Wine,91.0
"McLaren Vale, South Australia, Australia",Red Wine,90.0
"Barolo, Piedmont, Italy",Red Wine,93.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,90.0
"Napa Valley, California",Red Wine,93.0
"Veneto, Italy",Red Wine,88.0
"Napa Valley, California",Red Wine,99.0
"Ribbon Ridge, Willamette Valley, Oregon",Red Wine,90.0
"Central Coast, California",White Wine,89.0
"Spring Mountain District, Napa Valley, California",Red Wine,97.0
"St-Julien, Bordeaux, France",Red Wine,91.0
"Rutherford, Napa Valley, California",Red Wine,93.0
"Dry Creek Valley, Sonoma County, California",Red Wine,95.0
"Sonoma County, California",White Wine,92.0
"Central Coast, California",Red Wine,90.0
"Casablanca Valley, Chile",White Wine,89.0
"Russian River, Sonoma County, California",White Wine,92.0
Argentina,Red Wine,90.0
South Africa,Red Wine,88.0
"Languedoc, South of France, France",Red Wine,88.0
"Willamette Valley, Oregon",White Wine,90.0
"Loire, France",White Wine,93.0
"St. Emilion, Bordeaux, France",Red Wine,91.0
"Central Coast, California",White Wine,94.0
"Rioja, Spain",Red Wine,90.0
"Carneros, California",Red Wine,90.0
"Columbia Valley, Washington",Red Wine,91.0
"Eola-Amity Hills, Willamette Valley, Oregon",Red Wine,92.0
"St. Emilion, Bordeaux, France",Red Wine,97.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,93.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,89.0
"Tuscany, Italy",Red Wine,91.0
"Champagne, France",Sparkling & Champagne,90.0
"Meursault, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,90.0
"Cotes du Rhone, Rhone, France",Red Wine,91.0
"Sonoma County, California",Sparkling & Champagne,88.0
"Trentino-Alto Adige, Italy",White Wine,89.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,94.0
"Sonoma Coast, Sonoma County, California",White Wine,93.0
Spain,White Wine,91.0
"Napa Valley, California",Red Wine,91.0
"Columbia Valley, Washington",Red Wine,91.0
"Cote Rotie, Rhone, France",Red Wine,90.0
"Ribera del Duero, Spain",Red Wine,87.0
"Margaux, Bordeaux, France",Red Wine,90.0
"Napa Valley, California",Red Wine,94.0
"Napa Valley, California",Red Wine,93.0
"Montalcino, Tuscany, Italy",Red Wine,88.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,92.0
"Trentino-Alto Adige, Italy",White Wine,91.0
"Russian River, Sonoma County, California",Sparkling & Champagne,92.0
"Columbia Valley, Washington",White Wine,90.0
"Margaret River, Western Australia, Australia",Red Wine,91.0
"Rioja, Spain",Red Wine,91.0
"Bordeaux, France",White Wine,90.0
"Pauillac, Bordeaux, France",Red Wine,91.0
"Tuscany, Italy",Red Wine,90.0
California,Red Wine,91.0
"Napa Valley, California",Red Wine,91.0
"Vouvray, Touraine, Loire, France",White Wine,90.0
"Tuscany, Italy",Red Wine,90.0
"Napa Valley, California",Red Wine,93.0
"Sancerre, Loire, France",White Wine,91.0
"Meursault, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,90.0
Argentina,Red Wine,90.0
"Rias Baixas, Spain",Red Wine,92.0
"Gigondas, Rhone, France",Red Wine,93.0
"Barossa, South Australia, Australia",Red Wine,92.0
"Rasteau, Rhone, France",Red Wine,96.0
"Napa Valley, California",Red Wine,94.0
Spain,Red Wine,91.0
South Africa,White Wine,85.0
"Chablis, Burgundy, France",White Wine,90.0
"Willamette Valley, Oregon",White Wine,92.0
South Africa,White Wine,93.0
"Pommard, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,90.0
"Columbia Valley, Washington",Red Wine,90.0
"Chablis, Burgundy, France",White Wine,92.0
"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,92.0
"Sonoma County, California",Red Wine,90.0
"Pessac-Leognan, Bordeaux, France",Red Wine,94.0
"Howell Mountain, Napa Valley, California",Red Wine,93.0
"Central Coast, California",Red Wine,88.0
"Santa Maria Valley, Central Coast, California",Red Wine,94.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,93.0
"Yarra Valley, Victoria, Australia",Red Wine,90.0
"Napa Valley, California",Red Wine,99.0
"Champagne, France",Sparkling & Champagne,91.0
"Sicily, Italy",White Wine,89.0
"Sonoma County, California",Red Wine,90.0
"Columbia Valley, Washington",Red Wine,89.0
"Napa Valley, California",Red Wine,92.0
"Dry Creek Valley, Sonoma County, California",Red Wine,90.0
"Montalcino, Tuscany, Italy",Red Wine,91.0
"Central Coast, California",Red Wine,92.0
"Margaux, Bordeaux, France",Red Wine,96.0
Australia,Red Wine,90.0
Greece,Red Wine,90.0
"Yamhill-Carlton District, Willamette Valley, Oregon",Red Wine,90.0
"Rhone, France",Red Wine,94.0
"Languedoc, South of France, France",Red Wine,88.0
"Gigondas, Rhone, France",Red Wine,90.0
"Montalcino, Tuscany, Italy",Red Wine,90.0
"Cornas, Rhone, France",Red Wine,93.0
"Hermitage, Rhone, France",Red Wine,93.0
"Barolo, Piedmont, Italy",Red Wine,94.0
California,Red Wine,89.0
"Chablis, Burgundy, France",White Wine,91.0
"Mosel, Germany",White Wine,93.0
"Casablanca Valley, Chile",Red Wine,91.0
"Priorat, Spain",Red Wine,91.0
"Russian River, Sonoma County, California",Red Wine,90.0
"Ribera del Duero, Spain",Red Wine,95.0
"Mosel, Germany",White Wine,90.0
"Languedoc, South of France, France",Pink and Rosé,90.0
"Sonoma County, California",Red Wine,93.0
Spain,Red Wine,90.0
"Carneros, California",White Wine,92.0
"Tuscany, Italy",Red Wine,90.0
"Willamette Valley, Oregon",Red Wine,91.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,90.0
"Petaluma Gap, Sonoma Coast, Sonoma County, California",White Wine,90.0
"Carneros, California",White Wine,93.0
"Montalcino, Tuscany, Italy",Red Wine,93.0
"Burgenland, Austria",,90.0
California,Red Wine,87.0
"Moulis, Bordeaux, France",Red Wine,96.0
Argentina,Red Wine,92.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,92.0
Israel,Red Wine,91.0
Italy,Red Wine,87.0
"Rioja, Spain",Red Wine,89.0
"Côtes du Roussillon, Roussillon, South of France, France",Red Wine,88.0
"Napa Valley, California",Red Wine,92.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,92.0
"Yakima Valley, Columbia Valley, Washington",White Wine,93.0
"Languedoc, South of France, France",Red Wine,93.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,88.0
"Russian River, Sonoma County, California",Red Wine,90.0
"Bordeaux, France",Red Wine,90.0
"Western Australia, Australia",White Wine,94.0
"St. Emilion, Bordeaux, France",Red Wine,93.0
"Chambolle-Musigny, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,90.0
"Napa Valley, California",White Wine,92.0
"San Benito, Central Coast, California",Red Wine,91.0
South Africa,Red Wine,88.0
"Red Mountain, Yakima Valley, Columbia Valley, Washington",Red Wine,91.0
"Montalcino, Tuscany, Italy",Red Wine,91.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,96.0
"Western Australia, Australia",Red Wine,92.0
"Napa Valley, California",Red Wine,90.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,93.0
"Pessac-Leognan, Bordeaux, France",White Wine,95.0
"Montalcino, Tuscany, Italy",Red Wine,95.0
"Sonoma County, California",Red Wine,91.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,95.0
"Napa Valley, California",Red Wine,90.0
"Champagne, France",Sparkling & Champagne,90.0
"Champagne, France",Sparkling & Champagne,92.0
"St. Estephe, Bordeaux, France",Red Wine,90.0
"Columbia Valley, Washington",Red Wine,90.0
"Horse Heaven Hills, Columbia Valley, Washington",Red Wine,91.0
California,White Wine,86.0
"Beaujolais, Burgundy, France",Red Wine,91.0
"Veneto, Italy",Red Wine,89.0
"Paso Robles, Central Coast, California",Red Wine,90.0
"Rutherford, Napa Valley, California",Red Wine,94.0
"Columbia Valley, Washington",,90.0
"Barolo, Piedmont, Italy",Red Wine,90.0
"Sta. Rita Hills, Santa Barbara, Central Coast, California",Red Wine,90.0
"Napa Valley, California",Red Wine,95.0
"Burgundy, France",Red Wine,89.0
"Napa Valley, California",Red Wine,92.0
"Carneros, California",Red Wine,90.0
"Languedoc, South of France, France",Red Wine,92.0
"McLaren Vale, South Australia, Australia",Red Wine,88.0
Australia,Red Wine,92.0
Argentina,Red Wine,87.0
"Piedmont, Italy",Red Wine,94.0
"South Australia, Australia",White Wine,93.0
"Napa Valley, California",Red Wine,91.0
"Rutherford, Napa Valley, California",Red Wine,90.0
"Columbia Valley, Washington",Red Wine,87.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,92.0
"Côtes du Roussillon, Roussillon, South of France, France",Red Wine,91.0
"Napa Valley, California",Red Wine,94.0
"Rioja, Spain",Red Wine,90.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,91.0
"Montalcino, Tuscany, Italy",Red Wine,92.0
Chile,Red Wine,90.0
"Central Coast, California",Red Wine,90.0
"Gigondas, Rhone, France",Red Wine,94.0
"Monterey, Central Coast, California",White Wine,90.0
"Barolo, Piedmont, Italy",Red Wine,92.0
"Haut Medoc, Bordeaux, France",Red Wine,91.0
"Lodi, California",Red Wine,90.0
"Central Coast, California",White Wine,87.0
Australia,White Wine,91.0
"Navarra, Spain",Red Wine,91.0
"Valdeorras, Spain",White Wine,90.0
"Columbia Valley, Washington",Red Wine,90.0
"McLaren Vale, South Australia, Australia",Red Wine,94.0
"Napa Valley, California",Red Wine,91.0
"Montalcino, Tuscany, Italy",Red Wine,91.0
"Ribbon Ridge, Willamette Valley, Oregon",Red Wine,91.0
"Crozes-Hermitage, Rhone, France",Red Wine,92.0
Argentina,Red Wine,90.0
"Robertson, South Africa",White Wine,90.0
"Russian River, Sonoma County, California",Red Wine,91.0
Chile,Red Wine,91.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,93.0
"Calistoga, Napa Valley, California",Red Wine,93.0
"Napa Valley, California",Red Wine,92.0
"Marlborough, New Zealand",White Wine,90.0
"Pomerol, Bordeaux, France",Red Wine,90.0
"Other Peloponnese, Greece",White Wine,93.0
"Penedes, Spain",Sparkling & Champagne,89.0
"Columbia Valley, Washington",White Wine,88.0
"Napa Valley, California",Red Wine,95.0
New Zealand,White Wine,90.0
Spain,Red Wine,90.0
"Ribera del Duero, Spain",Red Wine,92.0
"Limoux, Languedoc, South of France, France",Red Wine,93.0
"Central Coast, California",Red Wine,92.0
"Piedmont, Italy",Red Wine,93.0
"Campania, Italy",Red Wine,89.0
California,White Wine,86.0
"Priorat, Spain",Red Wine,92.0
"Willamette Valley, Oregon",Red Wine,86.0
"Santa Maria Valley, Central Coast, California",White Wine,91.0
"Pauillac, Bordeaux, France",Red Wine,94.0
"Carneros, California",White Wine,91.0
"Hawkes Bay, New Zealand",Red Wine,90.0
"Napa Valley, California",Red Wine,88.0
"Columbia Valley, Washington",White Wine,88.0
"Saint-Joseph, Rhone, France",Red Wine,91.0
"Burgundy, France",Red Wine,88.0
"Fronsac, Bordeaux, France",Red Wine,90.0
"Lirac, Rhone, France",White Wine,90.0
Oregon,Red Wine,89.0
"Yountville, Napa Valley, California",Red Wine,95.0
"St-Julien, Bordeaux, France",Red Wine,90.0
"Barolo, Piedmont, Italy",Red Wine,93.0
"Columbia Valley, Washington",Red Wine,95.0
California,White Wine,85.0
"McLaren Vale, South Australia, Australia",Red Wine,88.0
"Napa Valley, California",Red Wine,91.0
"St. Emilion, Bordeaux, France",Red Wine,93.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,94.0
"Graves, Bordeaux, France",Red Wine,90.0
"Columbia Valley, Washington",White Wine,92.0
"Gigondas, Rhone, France",Red Wine,91.0
"Oakville, Napa Valley, California",Red Wine,96.0
"Burgundy, France",Red Wine,95.0
Spain,White Wine,90.0
"Central Otago, New Zealand",Red Wine,91.0
"Tavel, Rhone, France",Pink and Rosé,89.0
Chile,Red Wine,88.0
"Margaret River, Western Australia, Australia",Red Wine,90.0
"Rioja, Spain",Red Wine,88.0
"Willamette Valley, Oregon",White Wine,93.0
"Cotes du Rhone, Rhone, France",Red Wine,90.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,90.0
Spain,White Wine,90.0
"Montalcino, Tuscany, Italy",Red Wine,90.0
"Margaux, Bordeaux, France",Red Wine,90.0
"Stellenbosch, South Africa",Red Wine,90.0
"Rioja, Spain",Red Wine,91.0
"Oakville, Napa Valley, California",Red Wine,98.0
"Knights Valley, Sonoma County, California",White Wine,93.0
"Cote Rotie, Rhone, France",Red Wine,91.0
"Mendoza, Argentina",Red Wine,91.0
"Pouilly-Fume, Loire, France",White Wine,91.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,91.0
"Piedmont, Italy",Red Wine,90.0
"Kamptal, Austria",White Wine,91.0
"Cotes du Rhone, Rhone, France",Red Wine,90.0
"Barolo, Piedmont, Italy",Red Wine,90.0
"Pessac-Leognan, Bordeaux, France",White Wine,92.0
"Sonoma County, California",Red Wine,89.0
"Gigondas, Rhone, France",Red Wine,96.0
"Columbia Valley, Washington",White Wine,90.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,93.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,95.0
"Cote Rotie, Rhone, France",Red Wine,99.0
"Sonoma Coast, Sonoma County, California",White Wine,91.0
"Sonoma County, California",Red Wine,93.0
"Russian River, Sonoma County, California",Red Wine,93.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,90.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,89.0
Chile,Red Wine,90.0
"Margaret River, Western Australia, Australia",Red Wine,90.0
"Pouilly-Fuisse, Maconnais, Burgundy, France",White Wine,92.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,90.0
"Chateauneuf-du-Pape, Rhone, France",White Wine,93.0
"Cote Rotie, Rhone, France",Red Wine,93.0
"Columbia Valley, Washington",White Wine,90.0
"Martinborough, New Zealand",Red Wine,93.0
"Columbia Valley, Washington",White Wine,90.0
"Willamette Valley, Oregon",White Wine,90.0
"Alba, Piedmont, Italy",Red Wine,88.0
"St. Helena, Napa Valley, California",Red Wine,92.0
"Pomerol, Bordeaux, France",Red Wine,92.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,95.0
"St. Emilion, Bordeaux, France",Red Wine,97.0
"Champagne, France",Sparkling & Champagne,90.0
South Africa,,92.0
"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,94.0
"Napa Valley, California",Red Wine,92.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,91.0
"Sonoma Coast, Sonoma County, California",Red Wine,89.0
"Auckland, New Zealand",White Wine,91.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,93.0
"Napa Valley, California",Red Wine,93.0
Canada,,90.0
"Marlborough, New Zealand",Red Wine,89.0
"Margaux, Bordeaux, France",Red Wine,99.0
"Russian River, Sonoma County, California",Red Wine,93.0
"Ribera del Duero, Spain",Red Wine,88.0
"Russian River, Sonoma County, California",Red Wine,91.0
"Rogue Valley, Oregon",White Wine,89.0
"Columbia Valley, Washington",White Wine,87.0
"Columbia Valley, Washington",Red Wine,92.0
"Napa Valley, California",Red Wine,88.0
"Alba, Piedmont, Italy",Red Wine,92.0
Italy,White Wine,90.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,93.0
"Napa Valley, California",Red Wine,90.0
"Napa Valley, California",Red Wine,90.0
"Tuscany, Italy",Red Wine,93.0
"Mendocino, California",Red Wine,90.0
"Mosel, Germany",White Wine,94.0
"Napa Valley, California",Red Wine,90.0
"Barbaresco, Piedmont, Italy",Red Wine,94.0
"Napa Valley, California",Red Wine,96.0
"Santa Maria Valley, Central Coast, California",Red Wine,92.0
"Willamette Valley, Oregon",Sparkling & Champagne,90.0
"Columbia Valley, Washington",White Wine,90.0
"Sonoma Coast, Sonoma County, California",Red Wine,92.0
Spain,Red Wine,92.0
"Rias Baixas, Spain",White Wine,90.0
Chile,Red Wine,88.0
"Sonoma County, California",Red Wine,89.0
"Sauternes, Bordeaux, France",Collectible,90.0
"Oakville, Napa Valley, California",Red Wine,95.0
"Yarra Valley, Victoria, Australia",White Wine,87.0
New Zealand,White Wine,91.0
"Calistoga, Napa Valley, California",Red Wine,92.0
"Barossa Valley, Barossa, South Australia, Australia",Pink and Rosé,90.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,91.0
"Willamette Valley, Oregon",Red Wine,90.0
"North Coast, California",Red Wine,90.0
"Cote Rotie, Rhone, France",Red Wine,98.0
"Volnay, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,91.0
"Tuscany, Italy",Red Wine,88.0
"Santorini, Greece",White Wine,91.0
"Columbia Valley, Washington",Red Wine,90.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,93.0
"Rioja, Spain",Red Wine,92.0
"Languedoc, South of France, France",Red Wine,92.0
"Walla Walla Valley, Columbia Valley, Washington",White Wine,90.0
"Red Mountain, Yakima Valley, Columbia Valley, Washington",Red Wine,92.0
South Africa,Red Wine,92.0
"Tuscany, Italy",Red Wine,91.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,90.0
"Campania, Italy",White Wine,92.0
"Central Coast, California",Red Wine,90.0
"Russian River, Sonoma County, California",Red Wine,90.0
France,Red Wine,90.0
"Bordeaux, France",White Wine,90.0
"Priorat, Spain",Red Wine,95.0
Argentina,Red Wine,92.0
"Savigny-les-Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,90.0
"Petaluma Gap, Sonoma Coast, Sonoma County, California",Red Wine,90.0
"Barolo, Piedmont, Italy",Red Wine,90.0
"Central Coast, California",White Wine,90.0
"Sonoma Coast, Sonoma County, California",Red Wine,90.0
"Sierra Foothills, California",Red Wine,89.0
Italy,Red Wine,90.0
Italy,Red Wine,92.0
"Languedoc, South of France, France",Red Wine,90.0
"Rutherford, Napa Valley, California",White Wine,92.0
"Napa Valley, California",White Wine,89.0
"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,98.0
"Clare Valley, South Australia, Australia",Red Wine,90.0
"Pomerol, Bordeaux, France",Red Wine,92.0
"Pauillac, Bordeaux, France",Red Wine,93.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,91.0
"Central Coast, California",White Wine,88.0
"Walla Walla Valley, Columbia Valley, Washington",Red Wine,92.0
"Napa Valley, California",Red Wine,90.0
"Sauternes, Bordeaux, France",Collectible,97.0
Argentina,Red Wine,92.0
"Montalcino, Tuscany, Italy",Red Wine,93.0
"Virginia, Other U.S.",Red Wine,90.0
"St. Emilion, Bordeaux, France",Red Wine,96.0
"Yountville, Napa Valley, California",Red Wine,90.0
"Umbria, Italy",Red Wine,90.0
"Margaret River, Western Australia, Australia",Red Wine,90.0
Canada,,91.0
"Central Coast, California",Red Wine,90.0
"Napa Valley, California",Red Wine,90.0
"Willamette Valley, Oregon",Red Wine,91.0
"Campania, Italy",Red Wine,87.0
"Napa Valley, California",White Wine,90.0
"Willamette Valley, Oregon",Red Wine,90.0
"Jura, France",White Wine,92.0
"Sauternes, Bordeaux, France",,97.0
"Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,90.0
"Oakville, Napa Valley, California",Red Wine,93.0
"Cotes du Rhone, Rhone, France",Red Wine,91.0
"Douro, Portugal",Red Wine,90.0
"Napa Valley, California",Red Wine,93.0
Chile,Red Wine,88.0
"Margaux, Bordeaux, France",Red Wine,90.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,91.0
"Margaux, Bordeaux, France",Red Wine,94.0
South Africa,White Wine,90.0
"Barossa, South Australia, Australia",Red Wine,91.0
"Russian River, Sonoma County, California",Red Wine,93.0
"North Coast, California",White Wine,90.0
Chile,Red Wine,90.0
"Chambolle-Musigny, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,91.0
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,91.0
"Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,90.0
"Chambolle-Musigny, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,93.0
"Atlas Peak, Napa Valley, California",Red Wine,93.0
"Barolo, Piedmont, Italy",Red Wine,92.0
France,Pink and Rosé,86.0
"Piedmont, Italy",Red Wine,91.0
"Carneros, California",White Wine,93.0
"Cornas, Rhone, France",Red Wine,92.0
"Columbia Valley, Washington",Red Wine,90.0
"Pessac-Leognan, Bordeaux, France",Red Wine,98.0
"Montalcino, Tuscany, Italy",Red Wine,98.0
"Rutherford, Napa Valley, California",Red Wine,91.0
"Napa Valley, California",Red Wine,91.0
Oregon,White Wine,92.0
"Columbia Valley, Washington",White Wine,91.0
"Vinho Verde, Portugal",White Wine,90.0
"Sonoma County, California",White Wine,89.0
"Central Coast, California",Red Wine,91.0
"Maipo Valley, Chile",Red Wine,94.0
"Central Coast, California",Red Wine,91.0
"Lodi, California",Red Wine,90.0
"Ribera del Duero, Spain",Red Wine,94.0
"Chianti Classico, Chianti, Tuscany, Italy",Red Wine,88.0
"Napa Valley, California",Red Wine,92.0
"Jerez, Spain",,92.0
"Margaux, Bordeaux, France",Red Wine,94.0
"Carneros, California",Red Wine,90.0
"Napa Valley, California",Red Wine,91.0
"Rioja, Spain",Red Wine,89.0
"Carneros, California",Red Wine,91.0
"Stags Leap District, Napa Valley, California",Red Wine,93.0
"Chateauneuf-du-Pape, Rhone, France",Red Wine,92.0
"Columbia Valley, Washington",White Wine,89.0
"Dry Creek Valley, Sonoma County, California",Red Wine,90.0
"Willamette Valley, Oregon",Red Wine,90.0
"Willamette Valley, Oregon",Red Wine,91.0
"McLaren Vale, South Australia, Australia",Red Wine,90.0
"Sonoma Coast, Sonoma County, California",Red Wine,92.0
Australia,Red Wine,88.0
"Central Coast, California",Red Wine,90.0
"Ribera del Duero, Spain",Red Wine,92.0
California,White Wine,91.0
"Champagne, France",Sparkling & Champagne,93.0
"Columbia Valley, Washington",Red Wine,95.0
"Napa Valley, California",Red Wine,93.0
"Pauillac, Bordeaux, France",Red Wine,92.0
"Fort Ross-Seaview, Sonoma Coast, Sonoma County, California",Red Wine,90.0
"Barolo, Piedmont, Italy",Red Wine,92.0
"Chateauneuf-du-Pape, Rhone, France",White Wine,92.0
"Napa Valley, California",White Wine,92.0
"Sonoma Coast, Sonoma County, California",Red Wine,90.0
"Barolo, Piedmont, Italy",Red Wine,90.0
"Uco Valley, Mendoza, Argentina",Red Wine,89.0
"Cote Rotie, Rhone, France",Red Wine,98.0
"Carneros, California",White Wine,89.0
"Barossa, South Australia, Australia",Red Wine,91.0
"Napa Valley, California",Red Wine,93.0
South Africa,Red Wine,92.0
"Sonoma Coast, Sonoma County, California",Red Wine,93.0
"Napa Valley, California",White Wine,94.0
"Tuscany, Italy",Red Wine,93.0
"Tuscany, Italy",Red Wine,96.0
"Mt. Veeder, Napa Valley, California",Red Wine,92.0
"Champagne, France",Sparkling & Champagne,95.0
"Ribera del Duero, Spain",Red Wine,94.0
South Africa,Red Wine,90.0
"Carneros, California",White Wine,90.0
"Calistoga, Napa Valley, California",Red Wine,91.0
"Kamptal, Austria",White Wine,90.0
"Napa Valley, California",White Wine,90.0
"Coonawarra, South Australia, Australia",Red Wine,90.0
"Edna Valley, Central Coast, California",Red Wine,95.0
"Sonoma County, California",Red Wine,93.0
"Cotes du Rhone, Rhone, France",Red Wine,92.0
